state,value
Alabama,12258
Alaska,4822
Arizona,275185
Arkansas,9301
California,226982
Colorado,18943
Connecticut,7802
Delaware,1821
District of Columbia,4685
Florida,110412
Georgia,54852
Guam,1808
Hawaii,2580
Idaho,7869
Illinois,34289
Indiana,10672
Iowa,7682
Kansas,4919
Kentucky,13346
Louisiana,21811
Maine,19765
Maryland,9749
Massachusetts,21266
Michigan,245337
Minnesota,12104
Mississippi,9492
Missouri,8863
Montana,2615
Nebraska,6399
Nevada,9071
New Hampshire,2438
New Jersey,36053
New Mexico,8985
New York,108442
North Carolina,39561
North Dakota,4499
Ohio,23124
Oklahoma,5822
Oregon,14434
Other6,811
Pennsylvania,21597
Puerto Rico,1357
Rhode Island,1526
South Carolina,13429
South Dakota,2760
Tennessee,17836
Texas,217048
Unknown,17925
Utah,6898
Vermont,5278
Virginia,17200
Washington,89762
West Virginia,1429
Wisconsin,7597
Wyoming,1433
