Country Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,663.1410528,651.9878619,628.1468039,592.4765375,520.252064,530.1498308,502.0567706,500.5226641,516.8665522,368.7546142
Albania,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,5332.160475,6492.872012
Algeria,5610.730894,5519.777576,5516.230604,4197.421361,3967.199451,4134.93672,4171.795011,4022.150184,3337.252512,3690.627878
Andorra,44904.58004,44750.43568,45682.24623,38885.37601,39932.16449,40632.48439,42903.44358,41327.50203,37207.49386,42137.32727
Angola,4962.552072,5101.983876,5059.080441,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1603.993477,1953.533757
Antigua and Barbuda,13686.47659,13350.14914,14004.81121,14861.88271,15862.65166,16110.55628,17527.16963,18319.45605,14787.63578,15781.3957
Argentina,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939,9963.672506,8496.424142,10636.1202
Armenia,3643.715183,3833.157532,4017.229808,3666.141876,3679.951972,4041.995021,4391.923697,4828.505178,4505.867364,4966.513471
Australia,68044.71482,68158.57974,62513.41122,56710.44572,49875.56514,53936.14025,57207.87151,54941.43418,51720.37076,60443.10916
Austria,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688,53637.70571
Azerbaijan,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4229.910649,5387.997975
Bahamas,28059.6554,27389.60197,28720.66219,30206.24043,29887.16488,30969.8762,31738.26716,32610.48505,23862.71099,27478.38963
Bahrain,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,23501.91946,26562.96914
Bangladesh,876.8175451,973.7733926,1108.5151,1236.00506,1659.961605,1815.609426,1963.411855,2122.078851,2233.305524,2457.92488
Barbados,16691.33264,16893.60627,16924.19034,16990.21947,17343.72544,17843.19793,18224.89059,19002.96238,16643.80658,17225.4623
Belarus,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,6542.797491,7302.257794
Belgium,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46638.68131,45517.79493,51247.01435
Belize,5645.895822,5887.933435,6068.088609,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543,5266.87616,6228.267309
Benin,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295,1319.154995
Bhutan,2470.073677,2409.441856,2589.899754,2695.638773,2879.547121,3240.704766,3210.706269,3303.964211,3009.924171,3266.364905
Bolivia,2562.466784,2853.797162,3022.462884,2975.648811,3013.502708,3280.008213,3471.006951,3472.380831,3068.812555,3345.196589
Bosnia and Herzegovina,4688.376623,5025.074597,5196.8608,4599.901029,4858.775926,5255.807058,5936.101502,6011.370671,6012.062767,7143.310548
Botswana,6393.008265,6436.60945,6844.020288,5869.732943,6411.527159,6705.351862,6947.800812,6679.167674,5863.203241,6805.221274
Brazil,12327.31744,12258.50317,12071.15821,8783.225984,8680.768792,9896.684783,9121.083403,8845.259118,6794.489159,7507.160971
Brunei,46842.96026,43948.85117,41037.07265,30681.67944,26762.94565,28186.80303,31241.45396,30748.73749,27179.41199,31449.07656
Bulgaria,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.717094,9879.334343,10129.81296,12221.49661
Burkina Faso,733.9729342,762.3038171,767.3713907,632.1266837,665.7863455,711.1846047,779.2027097,772.1668949,833.2443426,893.0771558
Burma,1161.305962,1195.9378,1238.72871,1224.562343,1161.861778,1175.202557,1274.915657,1295.201448,1477.45287,1209.926942
Burundi,238.2059494,241.5476708,257.8185519,289.3596333,242.0656705,243.1358094,231.4464765,216.9729681,216.8267413,221.4776762
Cabo Verde,3262.647058,3427.177172,3405.933447,2891.884482,2978.19942,3132.621798,3442.742003,3434.562745,2924.101807,3293.233054
Cambodia,950.4825446,1015.220881,1098.074538,1170.742816,1281.105964,1400.89926,1533.315985,1671.385385,1577.911747,1625.23502
Cameroon,1433.724035,1559.139125,1631.714084,1399.675331,1426.065517,1479.862349,1594.05999,1538.687947,1539.130559,1666.932734
Canada,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184,43258.26387,51987.93905
Central African Republic,525.8675432,352.226872,394.856957,351.8797536,372.1354655,414.7402866,435.9322636,426.4087626,435.4692516,461.1374902
Chad,969.6162149,980.083592,1017.787824,774.4116005,691.9800949,662.89753,720.265047,701.6212166,643.7722213,685.6902841
Chile,15406.49294,15833.2752,14666.34353,13569.9478,13785.68833,15045.52768,15795.70846,14631.94688,13094.45953,16265.09598
"China, People's Republic",6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.8382,10408.66976,12556.33312
Colombia,8101.829092,8264.126896,8164.714495,6228.426299,5938.463856,6450.319585,6782.03792,6438.060183,5307.215228,6104.136709
Comoros,1483.95138,1595.989896,1608.687864,1322.936695,1357.266263,1414.586566,1531.337972,1510.797358,1519.586823,1577.471027
"Congo, Democratic Republic",412.7762682,444.864361,472.266227,482.0645483,456.0279312,451.0890984,546.2125939,575.8827908,524.6666754,577.2092152
"Congo, Rep.",3753.861207,3719.651217,3622.530293,2347.818499,1970.250249,2088.500117,2512.383979,2288.808138,1838.448139,2290.382891
Costa Rica,9971.650902,10633.26725,10737.67888,11529.95453,11899.81326,12118.13341,12383.14997,12669.34107,12132.87688,12472.44373
Cote d'Ivoire,1649.301739,1903.054321,2124.019559,1941.566336,1980.878142,2076.148,2275.49595,2238.811005,2288.119498,2549.041297
Croatia,13443.13523,13871.3299,13784.47836,11952.31118,12552.25538,13655.81594,15244.43105,15331.88305,14198.75396,17685.32528
Cuba,6467.337914,6814.243844,7117.52691,7683.757891,8055.889907,8543.360968,8831.907222,9139.415856,9499.590202,0
Cyprus,28993.34961,27799.11914,27245.36523,23487.125,24715.73047,26697.17188,29418.93555,29417.13867,28036.18945,31551.81641
Czechia,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23424.48046,23664.84786,22992.87938,26821.24523
Denmark,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,60915.4244,68007.75667
Djibouti,1418.460858,2102.197948,2239.114538,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2917.996281,3150.436729
Dominica,7054.875977,7240.679119,7498.917522,7724.042411,8223.04145,7408.091301,7833.195013,8561.587011,7003.469891,7653.17187
Dominican Republic,6049.471741,6171.29557,6533.66686,6838.936594,7191.076572,7513.491343,7947.158207,8173.338007,7167.919159,8476.752157
Ecuador,5678.455721,6050.354611,6374.631486,6130.586676,6079.088736,6246.404252,6321.349401,6233.258167,5645.19929,5965.132871
Egypt,3059.135428,3088.890834,3196.861381,3370.382447,3331.612461,2315.896627,2407.086543,2869.576588,3398.801432,3698.834981
El Salvador,3471.051269,3555.1621,3638.517658,3761.51368,3870.312982,3986.049014,4145.862351,4280.288404,3903.395839,4551.184661
Equatorial Guinea,18756.42642,17644.59516,16804.92595,9788.983771,8035.30787,8410.39725,8719.186217,7317.390189,6327.599012,7506.667523
Eritrea,0,0,0,0,0,0,0,0,0,0
Estonia,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23165.84948,23424.48471,23595.24368,27943.70122
Eswatini,4396.562519,4111.109647,3928.506828,3583.31129,3339.992899,3824.046783,4020.27305,3843.377391,3372.895601,3978.403528
Ethiopia,458.5509208,490.791804,557.5341484,630.3126821,705.616305,755.7517677,758.2990596,840.4494515,918.6525941,925.077428
