Country Name,Country Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462
Albania,ALB,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
Andorra,AND,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034
Angola,AGO,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774
Antigua and Barbuda,ATG,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219
Argentina,ARG,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
Armenia,ARM,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974
Austria,AUT,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797
Azerbaijan,AZE,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750
Bahrain,BHR,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265
Bangladesh,BGD,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251
Barbados,BRB,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200
Belarus,BLR,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314
Belgium,BEL,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952
Belize,BLZ,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031
Benin,BEN,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895
Bhutan,BTN,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486
Bolivia,BOL,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472
Bosnia and Herzegovina,BIH,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943
Botswana,BWA,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423
Brazil,BRA,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223
Bulgaria,BGR,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743
Burkina Faso,BFA,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683
Burundi,BDI,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213
Central African Republic,CAF,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154
Chile,CHL,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184
Switzerland,CHE,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8703405
United Arab Emirates,ARE,8664969,8751847,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145
