state,value
Alabama,12258
Alaska,4822
Arkansas,275185
Arizona,9301
California,226982
Colorado,18943
Connecticut,7802
Delaware,1821
District of Columbia,4685
Florida,110412
Georgia,54852
Hawaii,1808
Iowa,2580
Idaho,7869
Illinois,34289
Indiana,10672
Kansas,7682
Kentucky,4919
Louisiana,13346
Maine,21811
Maryland,19765
Massachusetts,9749
Michigan,21266
Minnesota,245337
Missouri,12104
Mississippi,9492
Montana,8863
North Carolina,2615
North Dakota,6399
Nebraska,9071
New Hampshire,2438
New Jersey,36053
New Mexico,8985
Nevada,108442
New York,39561
Ohio,4499
Oklahoma,23124
Oregon,5822
Pennsylvania,14434
Rhode Island,21597
South Carolina,1357
South Dakota,1526
Tennessee,13429
Texas,2760
Utah,17836
Virginia,217048
Vermont,6898
Washington,5278
Wisconsin,17200
West Virginia,89762
Wyoming,1429
,
,
